SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
Í lok,Janúar,0.16,,9.00,14.40,,6.85,12.05,,17.5,9.00,7.1,6.00,
tímabils,Febrúar,0.20,,8.50,13.90,,6.65,11.85,,17.5,9.00,6.9,6.00,
2003,Mars,0.20,,8.50,13.90,,6.65,11.85,,17.5,8.50,6.7,5.70,
,Apríl,0.20,,8.50,13.90,,6.65,11.85,,17.5,8.50,6.7,5.70,
,Maí,0.20,,8.50,13.90,,6.65,11.75,,17.5,8.50,6.7,5.70,
,Júní,0.20,,8.50,13.90,,6.45,11.75,,17.5,8.50,6.7,5.70,
,Júlí,0.20,,8.50,13.90,,6.45,11.65,,17.0,8.50,6.5,5.70,
,Ágúst,0.20,,8.50,13.90,,6.45,11.75,,17.0,8.50,6.5,5.70,
,September,0.20,,8.40,13.70,,6.40,11.60,,17.0,8.50,6.5,5.70,
,Október,0.20,,8.40,13.70,,6.40,11.60,,17.0,8.50,6.4,5.70,
,Nóvember,0.20,,8.40,13.50,,6.10,11.50,,17.0,8.50,6.4,5.70,
,Desember,0.20,,8.40,13.50,,6.10,11.15,,17.0,8.50,6.1,5.70,
,,,,,,,,,,,,,,
2004,Janúar,0.20,,7.95,13.50,,5.60,11.15,,17.0,8.50,6.1,5.70,
,Febrúar,0.20,,7.95,13.70,,5.55,11.10,,17.0,8.50,6.0,5.70,
,Mars,0.20,,7.95,13.70,,5.50,11.10,,17.0,8.50,6.0,5.70,
,Apríl,0.20,,7.75,13.70,,5.40,11.10,,17.0,8.00,5.5,5.30,
