,Period,NoOfProperties,postnumer
0,201501,1,101.0
1,201501,38,101.0
2,201501,1,104.0
3,201501,9,105.0
5,201501,1,200.0
6,201501,1,210.0
7,201501,1,220.0
10,201501,184,101.0
11,201501,3,102.0
12,201501,2,103.0
13,201501,2,104.0
14,201501,42,105.0
15,201501,19,107.0
16,201501,5,108.0
17,201501,6,109.0
18,201501,3,110.0
19,201501,1,111.0
20,201501,1,112.0
21,201501,1,113.0
22,201501,1,162.0
23,201501,2,170.0
24,201501,5,200.0
25,201501,3,201.0
26,201501,2,203.0
27,201501,2,210.0
28,201501,5,220.0
29,201501,3,221.0
30,201501,2,225.0
32,201501,1,270.0
33,201501,1,271.0
34,201501,3,276.0
36,201501,97,101.0
37,201501,2,103.0
38,201501,6,104.0
39,201501,34,105.0
40,201501,15,107.0
41,201501,6,108.0
42,201501,7,110.0
43,201501,2,111.0
44,201501,4,113.0
45,201501,7,200.0
46,201501,4,201.0
47,201501,3,203.0
48,201501,3,210.0
49,201501,2,220.0
50,201501,2,221.0
51,201501,1,225.0
53,201501,1,270.0
54,201501,3,271.0
55,201501,4,276.0
60,201501,44,101.0
61,201501,3,102.0
62,201501,10,104.0
63,201501,28,105.0
64,201501,9,107.0
65,201501,6,108.0
66,201501,1,110.0
67,201501,4,112.0
68,201501,1,113.0
69,201501,1,161.0
70,201501,1,162.0
71,201501,4,170.0
73,201501,3,200.0
74,201501,1,201.0
75,201501,2,203.0
76,201501,4,210.0
77,201501,9,220.0
78,201501,2,221.0
79,201501,3,225.0
81,201501,4,276.0
85,201501,8,101.0
86,201501,2,102.0
87,201501,3,104.0
88,201501,3,105.0
89,201501,2,107.0
90,201501,2,108.0
91,201501,1,109.0
92,201501,2,110.0
93,201501,1,111.0
94,201501,4,112.0
95,201501,3,113.0
96,201501,1,162.0
98,201501,4,220.0
99,201501,1,221.0
100,201501,1,225.0
102,201501,1,270.0
103,201501,1,276.0
106,201501,2,101.0
107,201501,1,104.0
108,201501,1,105.0
109,201501,1,108.0
110,201501,1,200.0
111,201501,1,210.0
112,201501,1,101.0
113,201501,1,110.0
114,201501,1,105.0
115,201501,1,201.0
116,201501,1,276.0
117,201501,4,101.0
118,201501,3,170.0
119,201501,1,225.0
120,201501,1,101.0
121,201501,1,220.0
122,201501,94,101.0
123,201501,3,102.0
124,201501,2,103.0
125,201501,11,104.0
126,201501,54,105.0
127,201501,9,107.0
128,201501,5,108.0
129,201501,10,109.0
130,201501,8,110.0
131,201501,2,111.0
132,201501,1,112.0
133,201501,2,170.0
134,201501,12,200.0
135,201501,5,201.0
136,201501,1,203.0
137,201501,1,206.0
138,201501,1,210.0
139,201501,19,220.0
140,201501,2,221.0
144,201501,4,270.0
145,201501,2,271.0
147,201501,1,105.0
148,201501,1,109.0
149,201501,1,170.0
150,201501,1,220.0
151,201501,1,101.0
152,201501,1,105.0
153,201501,1,110.0
154,201501,1,111.0
155,201501,1,270.0
156,201502,1,101.0
157,201502,35,101.0
158,201502,2,104.0
159,201502,9,105.0
161,201502,1,200.0
162,201502,1,210.0
163,201502,2,220.0
166,201502,179,101.0
167,201502,2,102.0
168,201502,2,103.0
169,201502,3,104.0
170,201502,38,105.0
171,201502,19,107.0
172,201502,4,108.0
173,201502,6,109.0
174,201502,1,110.0
175,201502,2,111.0
176,201502,1,112.0
177,201502,1,162.0
178,201502,3,170.0
180,201502,8,200.0
181,201502,3,201.0
182,201502,2,203.0
183,201502,2,210.0
184,201502,5,220.0
185,201502,3,221.0
186,201502,2,225.0
188,201502,1,270.0
189,201502,1,271.0
190,201502,3,276.0
192,201502,103,101.0
193,201502,1,103.0
194,201502,6,104.0
195,201502,35,105.0
196,201502,12,107.0
197,201502,7,108.0
198,201502,5,110.0
199,201502,1,111.0
200,201502,3,113.0
201,201502,7,200.0
202,201502,5,201.0
203,201502,3,203.0
204,201502,4,210.0
205,201502,4,220.0
206,201502,3,221.0
207,201502,1,225.0
210,201502,1,270.0
211,201502,3,271.0
212,201502,4,276.0
217,201502,44,101.0
218,201502,2,102.0
219,201502,9,104.0
220,201502,29,105.0
221,201502,7,107.0
222,201502,5,108.0
223,201502,1,110.0
224,201502,2,111.0
225,201502,2,112.0
226,201502,1,113.0
227,201502,1,161.0
228,201502,1,162.0
229,201502,4,170.0
231,201502,2,200.0
232,201502,1,201.0
233,201502,2,203.0
234,201502,5,210.0
235,201502,8,220.0
236,201502,2,221.0
237,201502,4,225.0
239,201502,4,276.0
244,201502,11,101.0
245,201502,2,102.0
246,201502,2,104.0
247,201502,6,105.0
248,201502,1,107.0
249,201502,2,108.0
250,201502,1,109.0
251,201502,2,110.0
252,201502,1,111.0
253,201502,3,112.0
254,201502,3,113.0
256,201502,3,220.0
257,201502,1,225.0
259,201502,1,270.0
260,201502,1,276.0
262,201502,2,101.0
263,201502,1,104.0
264,201502,1,105.0
265,201502,2,108.0
266,201502,1,200.0
267,201502,1,101.0
268,201502,1,105.0
269,201502,1,201.0
270,201502,1,276.0
271,201502,4,101.0
272,201502,3,170.0
273,201502,1,225.0
274,201502,1,101.0
275,201502,1,220.0
276,201502,104,101.0
277,201502,4,102.0
278,201502,14,104.0
279,201502,56,105.0
280,201502,11,107.0
281,201502,7,108.0
282,201502,11,109.0
283,201502,11,110.0
284,201502,2,111.0
285,201502,1,112.0
286,201502,2,170.0
287,201502,13,200.0
288,201502,5,201.0
289,201502,1,203.0
290,201502,1,206.0
291,201502,1,210.0
292,201502,14,220.0
293,201502,2,221.0
298,201502,4,270.0
299,201502,2,271.0
301,201502,1,105.0
302,201502,1,109.0
303,201502,1,170.0
304,201502,1,220.0
305,201502,1,101.0
306,201502,2,105.0
307,201502,2,108.0
308,201502,1,110.0
309,201502,1,111.0
310,201502,1,270.0
311,201503,1,101.0
312,201503,38,101.0
313,201503,2,104.0
314,201503,9,105.0
316,201503,1,200.0
317,201503,1,210.0
318,201503,1,220.0
321,201503,193,101.0
322,201503,2,102.0
323,201503,2,103.0
324,201503,3,104.0
325,201503,52,105.0
326,201503,21,107.0
327,201503,5,108.0
328,201503,6,109.0
329,201503,1,111.0
330,201503,2,112.0
331,201503,1,113.0
332,201503,1,162.0
333,201503,3,170.0
335,201503,10,200.0
336,201503,4,201.0
337,201503,1,203.0
338,201503,2,210.0
339,201503,5,220.0
340,201503,3,221.0
341,201503,2,225.0
343,201503,1,270.0
344,201503,1,271.0
345,201503,3,276.0
347,201503,114,101.0
348,201503,2,103.0
349,201503,6,104.0
350,201503,41,105.0
351,201503,15,107.0
352,201503,5,108.0
353,201503,1,109.0
354,201503,5,110.0
355,201503,2,111.0
356,201503,4,113.0
357,201503,1,170.0
358,201503,8,200.0
359,201503,6,201.0
360,201503,3,203.0
361,201503,3,210.0
362,201503,4,220.0
363,201503,3,221.0
364,201503,1,225.0
367,201503,1,270.0
368,201503,3,271.0
369,201503,4,276.0
374,201503,51,101.0
375,201503,3,102.0
376,201503,6,104.0
377,201503,27,105.0
378,201503,10,107.0
379,201503,10,108.0
380,201503,1,110.0
381,201503,2,111.0
382,201503,1,112.0
383,201503,1,113.0
384,201503,1,161.0
385,201503,1,162.0
386,201503,4,170.0
388,201503,5,200.0
389,201503,2,201.0
390,201503,2,203.0
391,201503,5,210.0
392,201503,5,220.0
393,201503,2,221.0
394,201503,3,225.0
396,201503,5,276.0
402,201503,11,101.0
403,201503,3,102.0
404,201503,3,104.0
405,201503,5,105.0
406,201503,1,107.0
407,201503,3,108.0
408,201503,1,109.0
409,201503,2,110.0
410,201503,1,111.0
411,201503,2,112.0
412,201503,3,113.0
414,201503,1,201.0
415,201503,4,220.0
416,201503,1,225.0
418,201503,1,270.0
419,201503,1,276.0
422,201503,2,101.0
423,201503,1,104.0
424,201503,1,105.0
425,201503,1,107.0
426,201503,2,108.0
427,201503,1,200.0
428,201503,1,203.0
429,201503,1,101.0
430,201503,1,105.0
431,201503,1,201.0
432,201503,1,101.0
433,201503,1,276.0
434,201503,4,101.0
435,201503,3,170.0
436,201503,1,225.0
437,201503,1,101.0
438,201503,1,220.0
439,201503,96,101.0
440,201503,3,102.0
441,201503,2,103.0
442,201503,18,104.0
443,201503,58,105.0
444,201503,12,107.0
445,201503,9,108.0
446,201503,11,109.0
447,201503,11,110.0
448,201503,2,111.0
449,201503,1,112.0
450,201503,2,113.0
451,201503,2,170.0
452,201503,12,200.0
453,201503,5,201.0
454,201503,1,203.0
455,201503,1,206.0
456,201503,1,210.0
457,201503,15,220.0
458,201503,2,221.0
463,201503,3,270.0
464,201503,2,271.0
466,201503,1,105.0
467,201503,1,109.0
468,201503,1,170.0
469,201503,1,220.0
470,201503,2,101.0
471,201503,2,105.0
472,201503,1,108.0
473,201503,1,110.0
474,201503,1,111.0
475,201503,1,270.0
476,201504,1,101.0
477,201504,39,101.0
478,201504,2,104.0
479,201504,12,105.0
480,201504,1,109.0
481,201504,1,112.0
483,201504,1,200.0
484,201504,1,203.0
485,201504,2,210.0
486,201504,1,220.0
488,201504,1,270.0
489,201504,1,276.0
491,201504,209,101.0
492,201504,3,102.0
493,201504,3,103.0
494,201504,7,104.0
495,201504,63,105.0
496,201504,22,107.0
497,201504,6,108.0
498,201504,7,109.0
499,201504,1,110.0
500,201504,2,112.0
501,201504,2,113.0
502,201504,1,162.0
503,201504,3,170.0
505,201504,8,200.0
506,201504,6,201.0
507,201504,2,203.0
508,201504,4,210.0
509,201504,8,220.0
510,201504,3,221.0
511,201504,2,225.0
514,201504,2,270.0
515,201504,1,271.0
516,201504,3,276.0
519,201504,127,101.0
520,201504,1,102.0
521,201504,2,103.0
522,201504,11,104.0
523,201504,52,105.0
524,201504,14,107.0
525,201504,7,108.0
526,201504,1,109.0
527,201504,7,110.0
528,201504,2,111.0
529,201504,2,112.0
530,201504,3,113.0
531,201504,1,161.0
532,201504,2,170.0
533,201504,11,200.0
534,201504,4,201.0
535,201504,6,203.0
536,201504,4,210.0
537,201504,5,220.0
538,201504,4,221.0
539,201504,2,225.0
542,201504,1,270.0
543,201504,3,271.0
544,201504,5,276.0
549,201504,51,101.0
550,201504,3,102.0
551,201504,8,104.0
552,201504,27,105.0
553,201504,16,107.0
554,201504,11,108.0
555,201504,1,109.0
556,201504,2,110.0
557,201504,2,111.0
558,201504,2,112.0
559,201504,1,113.0
560,201504,1,161.0
561,201504,1,162.0
562,201504,4,170.0
565,201504,6,200.0
566,201504,2,201.0
567,201504,2,203.0
568,201504,6,210.0
569,201504,6,220.0
570,201504,3,221.0
571,201504,4,225.0
574,201504,6,276.0
580,201504,11,101.0
581,201504,2,102.0
582,201504,4,104.0
583,201504,6,105.0
584,201504,1,107.0
585,201504,5,108.0
586,201504,1,109.0
587,201504,3,110.0
588,201504,1,111.0
589,201504,3,112.0
590,201504,4,113.0
591,201504,1,161.0
593,201504,1,200.0
594,201504,1,201.0
595,201504,4,220.0
596,201504,1,221.0
597,201504,1,225.0
599,201504,1,270.0
600,201504,1,276.0
603,201504,2,101.0
604,201504,1,104.0
605,201504,1,105.0
606,201504,1,108.0
607,201504,1,113.0
608,201504,1,200.0
610,201504,1,270.0
611,201504,1,101.0
612,201504,1,109.0
614,201504,1,105.0
615,201504,1,201.0
616,201504,1,101.0
617,201504,1,276.0
618,201504,5,101.0
619,201504,3,170.0
620,201504,1,225.0
621,201504,1,101.0
622,201504,1,220.0
623,201504,109,101.0
624,201504,3,102.0
625,201504,3,103.0
626,201504,19,104.0
627,201504,63,105.0
628,201504,14,107.0
629,201504,11,108.0
630,201504,14,109.0
631,201504,12,110.0
632,201504,2,111.0
633,201504,1,112.0
634,201504,4,113.0
635,201504,2,170.0
636,201504,12,200.0
637,201504,5,201.0
638,201504,1,203.0
639,201504,1,206.0
640,201504,1,210.0
641,201504,22,220.0
642,201504,3,221.0
643,201504,2,225.0
649,201504,4,270.0
650,201504,2,271.0
652,201504,1,105.0
653,201504,1,109.0
654,201504,1,170.0
655,201504,1,220.0
656,201504,2,101.0
657,201504,2,105.0
658,201504,1,108.0
659,201504,1,110.0
660,201504,1,111.0
661,201504,1,270.0
662,201505,1,101.0
663,201505,42,101.0
664,201505,2,104.0
665,201505,6,105.0
666,201505,1,109.0
667,201505,1,111.0
668,201505,1,112.0
669,201505,1,170.0
671,201505,1,200.0
672,201505,1,203.0
673,201505,3,210.0
674,201505,2,220.0
676,201505,1,276.0
678,201505,222,101.0
679,201505,3,102.0
680,201505,3,103.0
681,201505,8,104.0
682,201505,71,105.0
683,201505,23,107.0
684,201505,8,108.0
685,201505,6,109.0
686,201505,2,110.0
687,201505,1,111.0
688,201505,2,112.0
689,201505,2,113.0
690,201505,1,162.0
691,201505,2,170.0
693,201505,7,200.0
694,201505,3,201.0
695,201505,2,203.0
696,201505,2,210.0
697,201505,1,220.0
698,201505,2,221.0
699,201505,2,225.0
702,201505,2,270.0
703,201505,1,271.0
704,201505,3,276.0
706,201505,141,101.0
707,201505,1,102.0
708,201505,2,103.0
709,201505,8,104.0
710,201505,46,105.0
711,201505,15,107.0
712,201505,8,108.0
713,201505,1,109.0
714,201505,10,110.0
715,201505,3,112.0
716,201505,2,113.0
717,201505,2,170.0
718,201505,8,200.0
719,201505,6,201.0
720,201505,3,203.0
721,201505,5,210.0
722,201505,6,220.0
723,201505,4,221.0
724,201505,2,225.0
727,201505,2,271.0
728,201505,6,276.0
732,201505,55,101.0
733,201505,3,102.0
734,201505,7,104.0
735,201505,30,105.0
736,201505,11,107.0
737,201505,8,108.0
738,201505,2,112.0
739,201505,1,113.0
740,201505,1,161.0
741,201505,1,162.0
742,201505,3,170.0
744,201505,4,200.0
745,201505,1,201.0
746,201505,1,203.0
747,201505,5,210.0
748,201505,8,220.0
749,201505,4,221.0
750,201505,3,225.0
751,201505,5,276.0
757,201505,11,101.0
758,201505,2,102.0
759,201505,5,104.0
760,201505,5,105.0
761,201505,3,107.0
762,201505,5,108.0
763,201505,1,109.0
764,201505,2,110.0
765,201505,1,111.0
766,201505,3,112.0
767,201505,2,113.0
768,201505,1,161.0
769,201505,1,170.0
771,201505,1,200.0
772,201505,1,203.0
773,201505,3,220.0
776,201505,1,270.0
777,201505,1,276.0
780,201505,2,101.0
781,201505,1,104.0
782,201505,2,108.0
783,201505,1,113.0
784,201505,1,200.0
785,201505,1,220.0
787,201505,1,270.0
788,201505,1,101.0
789,201505,1,105.0
790,201505,1,201.0
791,201505,1,206.0
792,201505,1,101.0
794,201505,1,276.0
795,201505,5,101.0
796,201505,3,170.0
797,201505,1,225.0
798,201505,1,101.0
799,201505,1,220.0
800,201505,115,101.0
801,201505,3,102.0
802,201505,3,103.0
803,201505,18,104.0
804,201505,58,105.0
805,201505,13,107.0
806,201505,13,108.0
807,201505,12,109.0
808,201505,9,110.0
809,201505,1,112.0
810,201505,4,113.0
811,201505,1,170.0
812,201505,10,200.0
813,201505,3,201.0
814,201505,1,210.0
815,201505,15,220.0
816,201505,2,221.0
817,201505,1,225.0
823,201505,5,270.0
824,201505,1,276.0
826,201505,1,105.0
827,201505,1,109.0
828,201505,1,170.0
829,201505,1,220.0
830,201505,1,220.0
831,201505,3,101.0
832,201505,1,105.0
833,201505,6,108.0
834,201505,1,110.0
835,201506,1,101.0
836,201506,39,101.0
837,201506,4,104.0
838,201506,9,105.0
839,201506,3,107.0
840,201506,1,109.0
841,201506,1,112.0
842,201506,1,170.0
844,201506,2,210.0
845,201506,2,220.0
848,201506,1,270.0
849,201506,1,276.0
851,201506,201,101.0
852,201506,4,102.0
853,201506,1,103.0
854,201506,11,104.0
855,201506,76,105.0
856,201506,21,107.0
857,201506,8,108.0
858,201506,5,109.0
859,201506,1,110.0
860,201506,1,111.0
861,201506,2,113.0
862,201506,1,162.0
863,201506,2,170.0
865,201506,9,200.0
866,201506,3,201.0
867,201506,1,203.0
868,201506,2,210.0
869,201506,2,220.0
870,201506,2,221.0
871,201506,2,225.0
874,201506,2,270.0
875,201506,1,271.0
876,201506,1,276.0
879,201506,132,101.0
880,201506,4,102.0
881,201506,2,103.0
882,201506,10,104.0
883,201506,50,105.0
884,201506,18,107.0
885,201506,10,108.0
886,201506,5,110.0
887,201506,1,111.0
