Ár;Reykjavíkurborg;Kópavogsbær;Garðabær;Hafnarfjarðarkaupstaður;Mosfellsbær
2005;38674;7297;1637;5569;922
2006;39394;7956;1744;5853;970
2007;40146;8142;1912;6594;1059
2008;40542;8336;1991;6803;1150
2009;40669;8347;1989;6806;1155
2010;40692;8491;1990;6832;1185
2011;40719;8505;1990;6827;1188
2012;40941;8628;2059;6826;1187
2013;40975;8913;2087;6958;1188
2014;41149;9129;2229;6943;1198
2015;41994;9318;2459;7022;1242
2016;42335;9479;2511;7089;1351
2017;42980;10119;2697;7171;1746
2018;43626;10223;2821;7231;1848
2019;45381;10504;3184;7296;1973
2020;45885;10878;3318;7369;2101
2021;47413;11234;3631;7658;2132
2022;47789;11288;3782;7706;2138
