date,"Fjöldi kaupsamninga, árstíðarleiðrétt (v. ás)",Íbúðaverð (h. ás),Raunverð íbúða (h. ás),Einbýli/raðhús/parhús (v. ás),Fjölbýli/hæðir (v. ás),Aðrar fasteignir (atvinnuhús o.fl.) (v. ás),Meðalsölutími íbúðarhúsnæðis (h. ás),Verðtryggð lán,Lán í erl. gjaldm.,Óverðtryggð lán
2006-04-01,598.4,17.7,11.61,0.48,2.05,0.33,6.21,87.42,7.19,4.07
2006-05-01,617.0,13.19,5.23,0.48,2.05,0.33,6.21,87.31,7.36,4.01
2006-06-01,472.74,13.09,4.67,0.48,2.05,0.33,6.21,87.2,7.53,3.95
2006-07-01,436.96,7.49,-0.84,0.48,2.05,0.33,6.21,87.09,7.7,3.89
2006-08-01,406.92,10.79,2.06,0.48,2.05,0.33,6.21,86.98,7.870000000000001,3.83
2006-09-01,354.73,10.52,2.74,0.49,2.06,0.33,7.19,86.87,8.040000000000001,3.77
2006-10-01,410.12,7.19,0.03,0.49,2.05,0.33,6.21,86.76,8.21,3.71
2006-11-01,535.38,4.76,-2.37,0.5,1.92,0.35,4.53,86.65,8.38,3.65
2006-12-01,648.89,4.99,-1.83,0.49,1.71,0.33,3.4,86.54,8.55,3.59
2007-01-01,688.75,6.85,-0.03,0.49,1.58,0.33,3.01,86.43,8.72,3.53
2007-02-01,701.42,5.04,-2.21,0.49,1.51,0.33,2.86,87.03,8.44,3.04
2007-03-01,815.37,5.78,-0.08,0.46,1.44,0.33,2.33,87.5,9.78,2.5
2007-04-01,838.49,5.31,0.02,0.44,1.44,0.32,2.24,86.74,11.95,2.64
2007-05-01,888.01,9.29,4.41,0.43,1.39,0.33,2.05,86.77444444444444,12.522222222222222,2.681111111111111
2007-06-01,992.46,9.2,4.99,0.41,1.36,0.37,1.78,86.80888888888889,13.094444444444445,2.7222222222222223
2007-07-01,851.91,12.68,8.6,0.38,1.35,0.35,2.03,86.84333333333333,13.666666666666666,2.763333333333333
2007-08-01,838.38,10.84,7.14,0.36,1.25,0.34,1.92,86.87777777777778,14.238888888888889,2.8044444444444445
2007-09-01,675.79,10.99,6.54,0.37,1.3,0.3,2.47,86.91222222222221,14.811111111111112,2.8455555555555554
2007-10-01,719.1,16.71,11.72,0.39,1.36,0.3,2.42,86.94666666666666,15.383333333333333,2.8866666666666667
2007-11-01,613.44,14.09,8.47,0.4,1.36,0.29,2.86,86.9811111111111,15.955555555555556,2.9277777777777776
2007-12-01,459.17,14.95,8.59,0.42,1.37,0.32,3.89,87.01555555555555,16.52777777777778,2.9688888888888885
2008-01-01,414.19,14.05,7.83,0.44,1.41,0.35,4.46,87.05,17.1,3.01
2008-02-01,391.68,12.71,5.54,0.5,1.59,0.38,5.32,88.61,18.03,2.8
2008-03-01,278.37,9.6,0.8,0.54,1.65,0.4,7.88,88.81,21.24,2.63
2008-04-01,295.43,6.99,-4.27,0.58,1.72,0.42,7.79,83.17,21.85,2.16
2008-05-01,218.64,3.82,-7.57,0.62,1.87,0.45,11.39,83.78444444444445,21.574444444444445,2.155555555555556
2008-06-01,183.04,3.23,-8.43,0.65,1.97,0.47,14.27,84.39888888888889,21.29888888888889,2.151111111111111
2008-07-01,333.49,2.6,-9.64,0.67,1.97,0.5,7.94,85.01333333333334,21.023333333333333,2.146666666666667
2008-08-01,281.12,1.57,-11.32,0.71,2.03,0.54,9.76,85.62777777777778,20.747777777777777,2.1422222222222222
2008-09-01,274.59,0.56,-11.81,0.75,2.07,0.61,10.25,86.24222222222222,20.472222222222225,2.137777777777778
2008-10-01,239.5,-2.41,-15.79,0.79,2.08,0.66,11.97,86.85666666666667,20.19666666666667,2.1333333333333333
2008-11-01,136.42,-1.19,-15.65,0.82,2.17,0.7,21.98,87.47111111111111,19.921111111111113,2.128888888888889
2008-12-01,143.96,-2.53,-17.49,0.84,2.21,0.72,21.12,88.08555555555556,19.645555555555557,2.1244444444444444
2009-01-01,148.35,-5.55,-20.36,0.84,2.25,0.75,20.82,88.7,19.37,2.12
2009-02-01,105.87,-5.26,-19.42,0.69,1.86,0.64,24.04,91.03,18.93,2.18
2009-03-01,137.71,-8.53,-20.59,0.88,2.39,0.72,23.76,90.98,17.45,2.75
2009-04-01,140.03,-9.37,-19.0,0.94,2.55,0.76,24.94,92.76,16.59,3.02
2009-05-01,159.48,-10.47,-19.8,1.0,2.67,0.78,23.03,92.54666666666667,16.42222222222222,3.16
2009-06-01,137.14,-10.8,-20.48,1.02,2.74,0.79,27.46,92.33333333333334,16.254444444444445,3.3
2009-07-01,171.56,-11.2,-20.23,1.02,2.72,0.79,21.76,92.12,16.086666666666666,3.44
