utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count,sveitarfelag_Garðabær,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,tegund_Fjolbyli,tegund_Serbyli
2006-03-19,44850.0,31810.0,201.5,958.9,221.77239144865115,0.36511710416580273,2,0,1,0,0,1,1,1
2006-03-26,36612.5,26880.0,170.65,2704.175,204.42148308712856,0.2699089612922594,0,0,0,0,0,0,0,0
2006-04-02,28375.0,21950.0,139.8,4449.45,187.07057472560598,0.1747008184187161,0,0,0,0,0,0,0,0
2006-04-09,20137.5,17020.0,108.94999999999999,6194.725,169.71966636408342,0.07949267554517275,0,0,0,0,0,0,0,0
2006-04-16,11900.0,12090.0,78.1,7940.0,152.36875800256084,-0.015715467328370553,1,0,0,0,0,1,1,0
2006-04-23,17300.0,15110.0,89.0,1339.0,194.38202247191012,0.14493712772998016,1,0,0,0,0,1,1,0
2006-04-30,17733.333333333332,15048.333333333334,89.53333333333335,3340.6666666666665,198.18339271761798,0.1791597925084334,3,0,0,1,0,2,3,0
2006-05-07,22700.0,18205.0,104.64000000000001,4584.4,217.9376635673544,0.37825179649078366,5,0,0,1,0,4,4,1
2006-05-14,24215.104166666668,16982.052083333332,111.48333333333333,2978.390425531915,222.6462049510127,0.937971288041903,96,6,17,24,0,49,85,11
2006-05-21,23563.78151260504,16802.73949579832,109.18067226890756,3284.2941176470595,221.0042246591595,1.0418589616424816,119,5,14,21,4,75,103,16
2006-05-28,24493.88888888889,18284.1,110.42888888888893,3481.685555555555,220.6097764576605,0.38087225645890693,90,8,16,14,3,49,75,15
2006-06-04,24495.2,18617.32222222222,112.53111111111113,3752.3977777777777,219.27965810118226,0.33804289987661146,90,6,10,10,4,60,73,17
2006-06-11,23113.756097560974,16954.646341463416,106.61463414634146,3398.6341463414633,221.0894085071616,0.6033600703505042,82,5,11,15,3,48,69,13
2006-06-18,25370.535714285714,19014.51785714286,118.3321428571429,3326.2571428571428,218.8941072164122,0.5710806522566428,56,5,5,12,1,33,46,10
2006-06-25,22689.821428571428,17129.10714285714,105.46428571428574,3290.278571428571,217.6197388082713,0.7683596937765608,56,2,9,13,0,32,49,7
