,man-ar,overdtryggt,verdtryggt
49,2006-01-01,12.50,4.15
50,2006-02-01,12.50,4.15
51,2006-03-01,12.50,4.15
52,2006-04-01,12.50,4.30
53,2006-05-01,13.00,4.60
54,2006-06-01,14.00,4.60
55,2006-07-01,14.00,4.60
56,2006-08-01,14.50,4.85
57,2006-09-01,15.00,4.85
58,2006-10-01,15.50,4.85
59,2006-11-01,15.50,4.85
60,2006-12-01,15.50,4.85
62,2007-01-01,16.00,4.85
63,2007-02-01,16.00,4.95
64,2007-03-01,16.00,4.95
65,2007-04-01,16.00,4.95
66,2007-05-01,16.00,4.95
67,2007-06-01,16.00,4.95
68,2007-07-01,16.00,4.95
69,2007-08-01,16.00,5.00
70,2007-09-01,16.00,5.40
71,2007-10-01,16.00,5.40
72,2007-11-01,16.00,5.75
73,2007-12-01,16.50,6.30
75,2008-01-01,16.50,6.30
76,2008-02-01,16.50,6.30
77,2008-03-01,16.50,6.30
78,2008-04-01,16.50,6.30
79,2008-05-01,18.50,6.30
80,2008-06-01,18.50,6.30
81,2008-07-01,18.50,6.30
82,2008-08-01,18.50,6.05
83,2008-09-01,18.50,6.05
84,2008-10-01,18.50,6.05
85,2008-11-01,15.00,5.90
86,2008-12-01,21.00,5.90
88,2009-01-01,21.00,5.90
89,2009-02-01,20.00,5.90
90,2009-03-01,19.00,5.90
91,2009-04-01,19.00,5.90
92,2009-05-01,18.00,5.90
93,2009-06-01,10.50,5.90
94,2009-07-01,10.50,5.80
95,2009-08-01,10.50,5.80
96,2009-09-01,10.50,4.90
97,2009-10-01,10.50,4.90
98,2009-11-01,10.50,4.90
99,2009-12-01,9.00,5.30
101,2010-01-01,8.50,4.80
102,2010-02-01,8.50,4.80
103,2010-03-01,8.50,4.80
104,2010-04-01,8.50,4.80
105,2010-05-01,8.50,4.80
106,2010-06-01,8.25,4.80
107,2010-07-01,8.25,4.80
108,2010-08-01,7.75,4.80
109,2010-09-01,7.75,4.80
110,2010-10-01,6.75,4.80
111,2010-11-01,6.30,4.80
112,2010-12-01,5.75,4.70
114,2011-01-01,5.55,4.70
115,2011-02-01,5.50,4.70
116,2011-03-01,5.25,4.70
117,2011-04-01,5.25,4.70
118,2011-05-01,5.25,4.70
119,2011-06-01,5.25,4.30
120,2011-07-01,5.25,4.30
121,2011-08-01,5.25,4.30
122,2011-09-01,5.25,4.30
123,2011-10-01,5.25,4.30
124,2011-11-01,5.40,3.90
125,2011-12-01,5.25,3.90
127,2012-01-01,5.40,3.90
128,2012-02-01,5.40,3.90
129,2012-03-01,5.40,3.75
130,2012-04-01,5.40,3.75
131,2012-05-01,5.65,3.75
132,2012-06-01,5.65,3.75
133,2012-07-01,6.15,3.75
134,2012-08-01,6.40,3.75
135,2012-09-01,6.40,3.75
136,2012-10-01,6.40,3.75
137,2012-11-01,6.40,3.75
138,2012-12-01,6.40,3.75
140,2013-01-01,6.75,3.75
141,2013-02-01,6.75,3.75
142,2013-03-01,6.75,3.50
143,2013-04-01,6.75,3.50
144,2013-05-01,6.75,3.50
145,2013-06-01,6.75,3.50
146,2013-07-01,6.75,3.50
